ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
202619_s_at	4.05e-21	2.97e-25	22.140789	45.209127	3.1142763	PLOD2	procollagen-lysine,2-oxoglutarate 5-dioxygenase 2
202620_s_at	4.05e-21	3.63e-25	22.028823	45.037946	3.7730784	PLOD2	procollagen-lysine,2-oxoglutarate 5-dioxygenase 2
212148_at	5.57e-21	7.50e-25	21.631233	44.421941	4.9402278	PBX1	PBX homeobox 1
210976_s_at	3.92e-18	7.04e-22	18.158987	38.452022	3.2251068	PFKM	phosphofructokinase, muscle
204749_at	1.75e-17	3.93e-21	17.359212	36.910791	4.5760038	NAP1L3	nucleosome assembly protein 1 like 3
212372_at	1.21e-16	3.25e-20	16.41501	35.001759	4.4222244	MYH10	myosin, heavy chain 10, non-muscle
212151_at	2.70e-15	8.49e-19	15.029173	32.012522	3.5242003	PBX1	PBX homeobox 1
213122_at	6.53e-15	2.34e-18	14.615182	31.073917	3.8008632	TSPYL5	TSPY like 5
202766_s_at	9.26e-15	3.74e-18	14.427335	30.640843	2.6515456	FBN1	fibrillin 1
205984_at	1.07e-14	4.78e-18	14.32874	30.411717	6.0570799	CRHBP	corticotropin releasing hormone binding protein
219855_at	1.09e-13	5.40e-17	13.383898	28.151237	2.0811275	NUDT11	nudix hydrolase 11
207532_at	3.56e-12	1.92e-15	12.06328	24.788298	1.7576988	CRYGD	crystallin gamma D
202949_s_at	5.54e-12	3.23e-15	11.8761	24.2919	3.9616194	FHL2	four and a half LIM domains 2
210504_at	5.88e-12	3.69e-15	11.829096	24.166466	3.7100467	KLF1	Kruppel like factor 1
201906_s_at	3.03e-11	2.04e-14	11.230074	22.540407	1.997683	CTDSPL	CTD small phosphatase like
204753_s_at	3.51e-11	2.52e-14	11.157696	22.340475	3.2030438	HLF	HLF, PAR bZIP transcription factor
212190_at	4.06e-11	3.10e-14	11.086555	22.143233	3.7752162	SERPINE2	serpin family E member 2
204122_at	4.62e-11	3.86e-14	-11.011121	21.933302	-4.4981353	TYROBP	TYRO protein tyrosine kinase binding protein
205830_at	4.62e-11	3.94e-14	11.004039	21.913551	1.8747874	CLGN	calmegin
207505_at	7.62e-11	6.84e-14	10.815892	21.386224	1.8603298	PRKG2	protein kinase, cGMP-dependent, type II
214051_at	2.17e-10	2.04e-13	10.44751	20.339232	1.6316415	TMSB15B///TMSB15A	thymosin beta 15B///thymosin beta 15a
219288_at	3.13e-10	3.09e-13	10.310176	19.944019	1.8137658	C3orf14	chromosome 3 open reading frame 14
202545_at	3.67e-10	3.80e-13	-10.241126	19.744314	-3.1489468	PRKCD	protein kinase C delta
201105_at	3.67e-10	3.96e-13	-10.228051	19.706427	-3.3877975	LGALS1	galectin 1
218694_at	8.16e-10	9.16e-13	9.952143	18.901357	2.3822077	ARMCX1	armadillo repeat containing, X-linked 1
219418_at	1.69e-09	1.97e-12	9.702613	18.164275	1.0052589	SLC23A3///NHEJ1	solute carrier family 23 member 3///non-homologous end joining factor 1
201215_at	2.00e-09	2.42e-12	9.635997	17.966077	3.5361027	PLS3	plastin 3
217980_s_at	2.40e-09	3.01e-12	9.56571	17.756314	1.520707	MRPL16	mitochondrial ribosomal protein L16
213386_at	2.78e-09	3.62e-12	9.506797	17.579992	2.0468823	TMEM246	transmembrane protein 246
217901_at	4.18e-09	5.63e-12	9.365201	17.154334	3.4435033	DSG2	desmoglein 2
212224_at	4.50e-09	6.27e-12	9.330965	17.051024	4.4672996	ALDH1A1	aldehyde dehydrogenase 1 family member A1
211555_s_at	4.64e-09	6.66e-12	9.311469	16.992128	3.090961	GUCY1B3	guanylate cyclase 1 soluble subunit beta
204720_s_at	4.99e-09	7.70e-12	9.265163	16.852036	2.4230552	DNAJC6	DnaJ heat shock protein family (Hsp40) member C6
204918_s_at	4.99e-09	7.97e-12	9.254479	16.819676	2.6074216	MLLT3	MLLT3, super elongation complex subunit
204755_x_at	4.99e-09	8.01e-12	9.252759	16.814465	2.3346817	HLF	HLF, PAR bZIP transcription factor
218633_x_at	4.99e-09	8.23e-12	9.244203	16.788537	1.8740812	ABHD10	abhydrolase domain containing 10
216925_s_at	4.99e-09	8.29e-12	9.242021	16.781921	1.4385419	TAL1	TAL bHLH transcription factor 1, erythroid differentiation factor
208679_s_at	5.99e-09	1.02e-11	-9.1757	16.580607	-0.9149485	ARPC2	actin related protein 2/3 complex subunit 2
218599_at	6.43e-09	1.13e-11	9.144811	16.486654	2.0448946	REC8	REC8 meiotic recombination protein
218976_at	8.63e-09	1.55e-11	9.043618	16.178019	1.9309598	DNAJC12	DnaJ heat shock protein family (Hsp40) member C12
205240_at	9.28e-09	1.71e-11	9.013035	16.084491	1.7123408	GPSM2	G-protein signaling modulator 2
211700_s_at	1.13e-08	2.14e-11	8.942449	15.868187	2.0297148	TRO	trophinin
205632_s_at	1.25e-08	2.41e-11	8.904807	15.752586	2.3229409	PIP5K1B	phosphatidylinositol-4-phosphate 5-kinase type 1 beta
206999_at	1.68e-08	3.31e-11	8.805386	15.446436	1.8226705	IL12RB2	interleukin 12 receptor subunit beta 2
221249_s_at	1.93e-08	3.89e-11	8.754441	15.289101	2.9599312	FAM117A	family with sequence similarity 117 member A
221582_at	1.96e-08	4.04e-11	8.742864	15.253305	2.5769695	HIST3H2A	histone cluster 3, H2a
203333_at	2.01e-08	4.25e-11	8.72735	15.20531	1.9036868	KIFAP3	kinesin associated protein 3
205786_s_at	2.29e-08	4.93e-11	-8.680979	15.061686	-3.011303	ITGAM	integrin subunit alpha M
219109_at	2.48e-08	5.53e-11	8.645161	14.950578	1.8385676	SPAG16	sperm associated antigen 16
219737_s_at	2.48e-08	5.56e-11	8.643137	14.944296	4.0503304	PCDH9	protocadherin 9
202803_s_at	3.87e-08	8.87e-11	-8.498424	14.493862	-2.5920858	ITGB2	integrin subunit beta 2
201666_at	3.94e-08	9.20e-11	-8.486918	14.45795	-1.9733437	TIMP1	TIMP metallopeptidase inhibitor 1
210215_at	3.94e-08	9.37e-11	8.481405	14.440734	2.913188	TFR2	transferrin receptor 2
215489_x_at	4.62e-08	1.12e-10	-8.426097	14.267857	-3.7159626	HOMER3	homer scaffolding protein 3
218573_at	6.63e-08	1.64e-10	8.308966	13.900642	1.2004648	MAGEH1	MAGE family member H1
1405_i_at	6.68e-08	1.68e-10	-8.301127	13.876015	-2.979933	CCL5	C-C motif chemokine ligand 5
204917_s_at	7.90e-08	2.02e-10	8.244249	13.697125	3.1629116	MLLT3	MLLT3, super elongation complex subunit
203817_at	8.56e-08	2.27e-10	8.208901	13.585779	3.0990904	GUCY1B3	guanylate cyclase 1 soluble subunit beta
206120_at	8.56e-08	2.29e-10	-8.205656	13.57555	-2.446734	CD33	CD33 molecule
209585_s_at	8.56e-08	2.31e-10	8.203518	13.568812	2.791546	MINPP1	multiple inositol-polyphosphate phosphatase 1
